station,station_name,valid(America/Chicago),tmpf
DAL,DALLAS/LOVE FIELD,2025-07-10 00:00,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:01,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:02,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:03,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:04,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:05,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:06,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:07,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:08,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:09,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:10,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:11,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:12,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:13,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:14,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:15,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:16,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:17,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:18,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:19,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:20,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:21,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:22,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:23,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:24,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:25,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:26,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:27,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:28,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:29,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:30,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:31,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:32,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:33,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:34,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:35,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:36,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:37,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:38,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:39,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:40,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:41,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:42,77
DAL,DALLAS/LOVE FIELD,2025-07-10 00:43,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:44,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:45,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:46,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:47,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:48,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:49,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:50,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:51,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:52,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:53,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:54,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:55,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:56,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:57,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:58,76
DAL,DALLAS/LOVE FIELD,2025-07-10 00:59,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:00,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:01,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:02,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:03,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:04,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:05,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:06,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:07,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:08,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:09,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:10,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:11,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:12,76
DAL,DALLAS/LOVE FIELD,2025-07-10 01:13,76
